time,reduction,date
1,0,2020-02-10
35,0,2020-03-15
36,0.545672255,2020-03-16
38,0.584331167,2020-03-18
40,0.614095108,2020-03-20
42,0.803284297,2020-03-22
44,0.615805679,2020-03-24
46,0.616832022,2020-03-26
48,0.738624701,2020-03-28
50,0.677728361,2020-03-30
51,0.691070818,2020-03-31
52,0.697570989,2020-04-01
53,0.692781389,2020-04-02
54,0.670543962,2020-04-03
55,0.757098871,2020-04-04
56,0.80670544,2020-04-05
57,0.689702361,2020-04-06
58,0.670543962,2020-04-07
59,0.669859733,2020-04-08
60,0.737940472,2020-04-09
61,0.790283955,2020-04-10
62,0.760520014,2020-04-11
63,0.803626411,2020-04-12
64,0.70646596,2020-04-13
65,0.63188505,2020-04-14
66,0.629148135,2020-04-15
67,0.600410537,2020-04-16
68,0.620595279,2020-04-17
69,0.739651043,2020-04-18
70,0.805679097,2020-04-19
71,0.638385221,2020-04-20
72,0.622990079,2020-04-21
73,0.607252822,2020-04-22
74,0.632227164,2020-04-23
75,0.619226822,2020-04-24
76,0.744098529,2020-04-25
77,0.803968525,2020-04-26
78,0.628806021,2020-04-27
79,0.602463223,2020-04-28
80,0.593910366,2020-04-29
81,0.589120766,2020-04-30
82,0.748546014,2020-05-01
83,0.730756073,2020-05-02
84,0.749230243,2020-05-03
85,0.550461854,2020-05-04
86,0.523092713,2020-05-05
87,0.532329798,2020-05-06
88,0.534040369,2020-05-07
89,0.529592884,2020-05-08
90,0.735545672,2020-05-09
91,0.76667807,2020-05-10
92,0.519329456,2020-05-11
93,0.483065344,2020-05-12
94,0.487512829,2020-05-13
95,0.497092029,2020-05-14
96,0.525145399,2020-05-15
97,0.637016764,2020-05-16
98,0.704413274,2020-05-17
99,0.479986315,2020-05-18
100,0.445774889,2020-05-19
101,0.44269586,2020-05-20
102,0.440985289,2020-05-21
103,0.442011632,2020-05-22
104,0.564146425,2020-05-23
105,0.637016764,2020-05-24
106,0.422511119,2020-05-25
107,0.394457749,2020-05-26
108,0.381457407,2020-05-27
109,0.373930893,2020-05-28
110,0.378036264,2020-05-29
111,0.474170373,2020-05-30
112,0.570304482,2020-05-31
113,0.414300376,2020-06-01
114,0.362983236,2020-06-02
115,0.361956894,2020-06-03
116,0.370167636,2020-06-04
117,0.353404037,2020-06-05
118,0.444064317,2020-06-06
119,0.563120082,2020-06-07
120,0.40574752,2020-06-08
121,0.409168662,2020-06-09
122,0.336982552,2020-06-10
123,0.336982552,2020-06-11
