id,area,Y,M,O,Total
01,3037,81009.5452518326,178138.779869715,60078.6748784528,319227
02,14924,102095.368582942,224506.190389985,75716.4410270729,402318
03,5817,490819.224969352,1079304.14373807,364003.631292583,1934127
04,8775,178352.857322055,392195.268975534,132270.87370241,702819
05,8050,43826.7204941077,96374.303672995,32502.9758328973,172704
06,21766,176094.831109828,387229.903065756,130596.265824416,693921
07,4992,282472.531939493,621152.87809583,209488.589964678,1113114
08,7728,1403107.49291997,3085412.41699123,1040579.0900888,5529099
09,14292,95329.6642848747,209628.507706169,70698.8280089559,375657
10,19868,105426.832745015,231832.030316212,78187.1369387731,415446
11,7440,315565.126702985,693922.999636019,234030.873660996,1243519
12,6636,153363.069588956,337243.099053597,113737.831357447,604344
13,19813,134541.362898158,295854.447203482,99779.1898983599,530175
14,13771,204500.587694669,449693.737464151,151662.67484118,805857
15,7950,291103.176070518,640131.535613424,215889.288316058,1147124
16,17140,55610.1762300686,122285.946812423,41241.876957508,219138
17,5910,192054.036601038,422323.957538675,142432.005860287,756810
18,12647,234621.053553057,515928.191940358,174000.754506585,924550
19,12214,65081.5532045543,143113.363293728,48266.0835017179,256461
20,1980,180075.433398545,395983.1880355,133548.378565956,709607
21,10128,132458.690261189,291274.681186225,98234.6285525857,521968
22,15636,57950.6769892702,127432.673018974,42977.6499917562,228361
23,13496,170176.711386816,374216.046201075,126207.242412109,670600
24,15581,126325.375412534,277787.61345489,93686.0111325763,497799
25,12172,112243.544378288,246821.877368185,83242.5782535272,442308
26,5045,81955.5917475828,180219.121981611,60780.2862708065,322955
27,9856,89207.0076853672,196164.877305493,66158.1150091394,351530
28,8028,1646872.05540231,3621447.04847926,1221360.89611843,6489680
29,7306,412582.600870701,907262.976061669,305981.42306763,1625827
30,11314,373056.230139732,820345.077278211,276667.692582057,1470069
31,10391,162931.893412789,358284.799700934,120834.306886277,642051
32,7273,84569.9080027378,185967.964373444,62719.127623818,333257
33,10604,274446.616563664,603504.010077337,203536.373358999,1081487
34,8052,43563.8170151385,95796.1828500539,32308.0001348077,171668
35,4066,278378.24165987,612149.594932382,206452.163407748,1096980
36,4495,244508.102244292,537669.664317393,181333.233438315,963511
37,12350,89576.4936558104,196977.371435032,66432.1349091573,352986
38,3381,261327.326934562,574654.888161883,193806.784903555,1029789
39,5321,150515.033156068,330980.309482296,111625.657361636,593121
40,6921,41660.8120066539,91611.5032639193,30896.6847294268,164169
41,14036,489508.514092059,1076421.9100986,363031.575809346,1928962
42,10306,24164.5347276867,53137.4508908514,17921.0143814618,95223
43,6303,205907.476582126,452787.465111241,152706.058306633,811401
44,14810,36696.6055823341,80695.2874932879,27215.106924378,144607
45,15370,179475.272464411,394663.443106682,133103.284428907,707242
46,10807,654395.942455559,1439006.90194392,485316.155600526,2578719
47,8110,135733.817963483,298476.638078965,100663.543957552,534874
48,2217,293297.760323535,644957.393602608,217516.846073857,1155772
49,10561,49074.385592181,107913.84083284,36394.7735749791,193383
50,17274,246998.579795067,543146.187248227,183180.232956705,973325
51,19,20904.3793277667,45968.4178673721,15503.2028048612,82376
52,13,19914.6847640795,43792.0943061073,14769.2209298132,78476
