"Provincias","Total","code"
"02 Albacete",386464,2
"03 Alicante",1881762,3
"04 Almeria",731792,4
"01 Araba/alava",333626,1
"33 Asturias",1011792,33
"05 Avila",158421,5
"06 Badajoz",669943,6
"07 Illes Balears",1173008,7
"08 Barcelona",5714730,8
"48 Bizkaia",1154334,48
"09 Burgos",356055,9
"10 Caceres",389558,10
"11 Cadiz",1245960,11
"39 Cantabria",584507,39
"12 Castellon/Castello",587064,12
"13 Ciudad Real",492591,13
"14 Cordoba",776789,14
"15 A Coruna",1120134,15
"16 Cuenca",195516,16
"20 Gipuzkoa",726033,20
"17 Girona",786596,17
"18 Granada",921338,18
"19 Guadalajara",265588,19
"21 Huelva",525835,21
"22 Huesca",224264,22
"23 Jaen",627190,23
"24 Leon",451706,24
"25 Lleida",439727,25
"27 Lugo",326013,27
"28 Madrid",6751251,28
"29 Malaga",1695651,29
"30 Murcia",1518486,30
"31 Navarra",661537,31
"32 Ourense",305223,32
"34 Palencia",159123,34
"35 Las Palmas",1128539,35
"36 Pontevedra",944275,36
"26 La Rioja",319796,26
"37 Salamanca",327338,37
"38 Santa Cruz de Tenerife",1044405,38
"40 Segovia",153663,40
"41 Sevilla",1947852,41
"42 Soria",88747,42
"43 Tarragona",822309,43
"44 Teruel",134545,44
"45 Toledo",709403,45
"46 Valencia",2589312,46
"47 Valladolid",519361,47
"49 Zamora",168725,49
"50 Zaragoza",967452,50
"51 Ceuta",83517,51
"52 Melilla",86261,52
